Transaction_ID,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Total_Amount,Profit,Sales_Date,Order_Date,Shipping_Date,Payment_Method,Sales_Channel,City,State,Region
T00001,C6767,Bruce Lopez,P742,Table,Home,8,25762.39,148.21,205950.91,10607.4,2025-08-19,2025-08-19,2025-08-23,Debit Card,Offline,New Christopherberg,West Virginia,North
T00002,C5256,unknown value,P336,unknown column,Electronics,10,28982.17,5909.23,283912.47,59714.77,2025-06-10,2025-06-10,2025-06-16,Debit Card,Online,Sheamouth,Oklahoma,West
T00003,C8777,Jennifer Anderson,P647,Headphones,Electronics,8,29890.16,8151.23,230970.05,44798.09,2024-07-25,2024-07-25,2024-08-01,Debit Card,Offline,Rodriguezberg,Missouri,East
T00004,C3247,Catherine Silva,P930,unknown column,Electronics,1,43912.78,12778.16,31134.62,6876.39,2024-10-30,2024-10-30,2024-11-03,Debit Card,Offline,Blanchardshire,Idaho,West
T00005,C2499,Amanda Macias,P537,Sofa,Home,8,4665.62,382.79,36942.17,6988.91,2024-08-23,2024-08-23,2024-08-24,Upi,Offline,Lake Derrick,West Virginia,West
T00006,C6309,Connie Davis,P159,Monitor,Electronics,5,38569.15,8137.08,184708.67,13869.75,2025-03-19,2025-03-19,2025-03-20,Net Banking,Online,Annafort,Oklahoma,South
T00007,C8363,Rhonda Manning,P124,Hoodie,Clothing,9,7799.85,779.77,69418.88,13170.36,2025-05-04,2025-05-04,2025-05-11,Debit Card,Online,Lake Williamside,Indiana,North
T00008,C1322,Christopher Todd,P148,Magazine,Books,5,49548.08,13897.42,233842.98,46455.1,2025-12-03,2025-12-03,2025-12-09,Upi,Online,New Richardfurt,Illinois,North
T00009,C2214,unknown value,P542,Mouse,Electronics,6,43995.54,4811.73,259161.51,29412.38,2025-09-03,2025-09-03,2025-09-07,Credit Card,Offline,Turnertown,Wisconsin,East
T00010,C3496,Christopher Shaw,P977,Shoes,Clothing,6,2683.89,621.25,15482.09,1181.06,2025-09-17,2025-09-17,2025-09-22,Debit Card,Online,Susanside,Idaho,North
T00011,C1607,Joseph Wheeler,P353,Table,Home,5,11246.8,1546.85,54687.15,12530.97,2025-10-25,2025-10-25,2025-10-27,Net Banking,Offline,South Nathaniel,Ohio,West
T00012,C2074,Jennifer Silva,P498,Curtains,Home,3,10684.24,413.74,31638.98,2394.18,2025-11-06,2025-11-06,2025-11-09,Credit Card,Offline,Johnsonborough,Ohio,North
T00013,C6058,Juan Rodriguez,P100,Headphones,Electronics,4,35960.14,9048.51,134792.05,20889.29,2024-09-17,2024-09-17,2024-09-19,Cash,Offline,North Nancy,Massachusetts,South
T00014,C5907,Jeremy Bowers,P670,Jeans,Clothing,4,35098.3,5174.84,135218.36,28973.78,2024-02-25,2024-02-25,2024-03-03,Upi,Offline,Port Brentside,Wyoming,North
T00015,C9142,Shawn Adams,P333,Lamp,Home,3,5333.98,868.09,15133.85,2356.71,2024-06-05,2024-06-05,2024-06-08,Upi,Offline,New Lancetown,Vermont,South
T00016,C2833,Ronald Sanchez,P136,Chair,Home,3,19829.0,3617.09,55869.91,3187.44,2025-03-11,2025-03-11,2025-03-12,Net Banking,Offline,West Tony,Tennessee,South
T00017,C8469,Mr. Terry Williams,P308,Keyboard,Electronics,1,3180.87,53.41,3127.46,538.71,2025-11-08,2025-11-08,2025-11-14,Debit Card,Offline,Davisberg,Colorado,South
T00018,C2465,James Martinez,P447,Jacket,Clothing,3,36172.58,495.62,108022.12,19908.03,2024-03-04,2024-03-04,2024-03-06,Cash,Online,Port Jeffrey,Idaho,South
T00019,C1062,Brenda Lewis,P286,Curtains,Home,4,39716.31,9407.59,149457.65,14165.02,2024-09-25,2024-09-25,2024-09-27,Net Banking,Online,North Justinshire,Oregon,East
T00020,C9572,Rita Mathis,P994,Magazine,Books,5,35280.32,2346.55,174055.05,19581.36,2024-08-01,2024-08-01,2024-08-04,Cash,Online,South Nancy,Tennessee,East
T00021,C4211,unknown value,P848,T-Shirt,Clothing,3,41258.38,10858.43,112916.71,12250.44,2025-02-08,2025-02-08,2025-02-15,Net Banking,Online,Charlesmouth,Indiana,West
T00022,C3363,Tamara Garza,P372,Sofa,Home,1,44849.16,10086.09,34763.07,6760.96,2024-08-11,2024-08-11,2024-08-18,Upi,Offline,Pamelaville,Indiana,East
T00023,C2697,Steven Castaneda,P299,Notebook,Books,5,31932.7,3454.52,156208.98,11548.91,2024-07-06,2024-07-06,2024-07-11,Cash,Online,North Donaldburgh,Arizona,South
T00024,C1389,Mrs. Wendy Anderson MD,P177,Mouse,Electronics,5,24878.76,2714.97,121678.83,11531.44,2024-05-04,2024-05-04,2024-05-07,Net Banking,Online,Davidberg,Missouri,South
T00025,C8457,Tiffany Carter,P652,Table,Home,3,27856.85,1646.94,81923.61,8253.86,2024-05-21,2024-05-21,2024-05-22,Credit Card,Offline,Port Jeffrey,Delaware,South
T00026,C6553,Lori Kim,P848,Novel,Books,9,48127.76,8642.95,424506.89,31543.68,2025-05-20,2025-05-20,2025-05-27,Net Banking,Offline,Hollandburgh,Georgia,South
T00027,C2217,Marc Smith,P181,Magazine,Books,10,14125.92,3044.92,138214.28,17478.03,2024-08-30,2024-08-30,2024-08-31,Cash,Online,Meyerstad,Arkansas,South
T00028,C3859,Michael Montgomery,P143,Shoes,Clothing,9,29531.44,1469.75,264313.21,36434.45,2025-04-11,2025-04-11,2025-04-14,Net Banking,Offline,Fowlermouth,North Dakota,East
T00029,C7619,Elizabeth Perkins,P463,Lamp,Home,3,11860.96,1450.46,34132.42,6923.15,2024-12-04,2024-12-04,2024-12-09,Upi,Offline,North Andreaton,New Jersey,North
T00030,C9719,Paul Mendez,P520,Notebook,Books,10,20615.74,1735.59,204421.81,49609.34,2025-10-05,2025-10-05,2025-10-06,Net Banking,Offline,Stevensmouth,Wyoming,South
